t,x_pos,y_pos,z_pos,x_vel,y_vel,z_vel,attitude,status
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,SENSING
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,MANEUVERING
42.977,6999.735,127.01,299.603,-0.349,2.958,6.97,-42.977,MANEUVERING
42.977,6999.735,127.01,299.603,-0.349,2.958,6.97,-42.977,SENSING
42.977,6999.735,127.01,299.603,-0.349,2.958,6.97,-42.977,TRAVELING
700.0,5115.622,1880.238,4434.172,-5.144,2.166,5.098,-42.977,TRAVELING
700.0,5115.622,1880.238,4434.172,-5.144,2.166,5.098,-42.977,SENSING
700.0,5115.622,1880.238,4434.172,-5.144,2.166,5.098,-42.977,MEASURING
700.0,5115.622,1880.238,4434.172,-5.144,2.166,5.098,-42.977,MANEUVERING
701.018,5110.383,1882.439,4439.359,-5.15,2.164,5.093,-43.996,MANEUVERING
701.018,5110.383,1882.439,4439.359,-5.15,2.164,5.093,-43.996,SENSING
701.018,5110.383,1882.439,4439.359,-5.15,2.164,5.093,-43.996,TRAVELING
720.0,5011.641,1923.046,4535.056,-5.261,2.122,4.995,-43.996,TRAVELING
720.0,5011.641,1923.046,4535.056,-5.261,2.122,4.995,-43.996,SENSING
720.0,5011.641,1923.046,4535.056,-5.261,2.122,4.995,-43.996,MEASURING
720.0,5011.641,1923.046,4535.056,-5.261,2.122,4.995,-43.996,MANEUVERING
721.171,5005.48,1925.526,4540.9,-5.267,2.12,4.989,-45.167,MANEUVERING
721.171,5005.48,1925.526,4540.9,-5.267,2.12,4.989,-45.167,SENSING
721.171,5005.48,1925.526,4540.9,-5.267,2.12,4.989,-45.167,MESSAGING
721.171,5005.48,1925.526,4540.9,-5.267,2.12,4.989,-45.167,TRAVELING
760.0,4796.832,2006.001,4730.535,-5.486,2.032,4.782,-45.167,TRAVELING
760.0,4796.832,2006.001,4730.535,-5.486,2.032,4.782,-45.167,SENSING
760.0,4796.832,2006.001,4730.535,-5.486,2.032,4.782,-45.167,MEASURING
760.0,4796.832,2006.001,4730.535,-5.486,2.032,4.782,-45.167,MANEUVERING
761.618,4787.955,2009.281,4738.262,-5.495,2.029,4.774,-46.785,MANEUVERING
761.618,4787.955,2009.281,4738.262,-5.495,2.029,4.774,-46.785,SENSING
761.618,4787.955,2009.281,4738.262,-5.495,2.029,4.774,-46.785,MESSAGING
761.618,4787.955,2009.281,4738.262,-5.495,2.029,4.774,-46.785,TRAVELING
860.0,4222.254,2197.029,5180.55,-6.003,1.792,4.214,-46.785,TRAVELING
860.0,4222.254,2197.029,5180.55,-6.003,1.792,4.214,-46.785,SENSING
860.0,4222.254,2197.029,5180.55,-6.003,1.792,4.214,-46.785,MEASURING
860.0,4222.254,2197.029,5180.55,-6.003,1.792,4.214,-46.785,MANEUVERING
860.059,4221.902,2197.134,5180.797,-6.003,1.791,4.214,-46.844,MANEUVERING
860.059,4221.902,2197.134,5180.797,-6.003,1.791,4.214,-46.844,SENSING
860.059,4221.902,2197.134,5180.797,-6.003,1.791,4.214,-46.844,MESSAGING
860.059,4221.902,2197.134,5180.797,-6.003,1.791,4.214,-46.844,TRAVELING
880.0,4101.327,2232.293,5263.599,-6.098,1.741,4.095,-46.844,TRAVELING
