t_update,grid_index,GP index,lat [deg],log [deg],instrument,reward,n_observations,n_events
120.0,0,2607,7.21,81.535,visual,1.0,1,0
120.0,0,2607,7.21,81.535,visual,1.0666666666666667,0,0
170.0,0,2942,63.31276700000007,12.59895800000004,thermal,1.0,1,0
170.0,0,2942,63.31276700000007,12.59895800000004,thermal,1.0944444444444446,0,0
180.0,0,3692,63.54790700000007,14.284304000000075,thermal,1.0,1,0
180.0,0,3692,63.54790700000007,14.284304000000075,thermal,1.1,0,0
250.0,0,2604,63.54617800000005,24.85059300000006,thermal,1.0,1,0
250.0,0,2604,63.54617800000005,24.85059300000006,thermal,1.1388888888888888,0,0
260.0,0,4121,63.04253700000004,25.52432200000004,thermal,1.0,1,0
260.0,0,4121,63.04253700000004,25.52432200000004,thermal,1.1444444444444444,0,0
270.0,0,4089,62.31917500000003,26.11518700000005,thermal,1.0,1,0
270.0,0,4089,62.31917500000003,26.11518700000005,thermal,1.15,0,0
280.0,0,2716,62.44872700000008,27.639583000000076,thermal,1.0,1,0
280.0,0,2716,62.44872700000008,27.639583000000076,thermal,1.1555555555555554,0,0
290.0,0,2113,61.28015800000003,27.656138000000052,thermal,1.0,1,0
290.0,0,2113,61.28015800000003,27.656138000000052,thermal,1.1611111111111112,0,0
300.0,0,1905,61.57591800000006,29.654813000000047,thermal,1.0,1,0
300.0,0,1905,61.57591800000006,29.654813000000047,thermal,1.1666666666666667,0,0
310.0,0,596,60.23348000000004,-151.15869799999996,thermal,1.0,1,0
310.0,0,596,60.23348000000004,-151.15869799999996,thermal,1.1722222222222223,0,0
320.0,0,3153,61.57332100000008,32.628483000000074,thermal,1.0,1,0
320.0,0,3153,61.57332100000008,32.628483000000074,thermal,1.1777777777777778,0,0
550.0,0,2857,31.71,90.744,visual,1.0,1,0
550.0,0,2857,31.71,90.744,visual,1.3055555555555556,0,0
560.0,0,4294,49.32416600000005,46.10944100000006,thermal,1.0,1,0
560.0,0,4294,49.32416600000005,46.10944100000006,thermal,1.3111111111111111,0,0
580.0,0,1360,48.19791700000008,46.897917000000064,thermal,1.0,1,0
580.0,0,1360,48.19791700000008,46.897917000000064,thermal,1.3222222222222222,0,0
610.0,0,1400,48.460417000000064,51.92291700000004,thermal,1.0,1,0
610.0,0,1400,48.460417000000064,51.92291700000004,thermal,1.338888888888889,0,0
610.0,0,4508,34.205,-85.617,visual,1.0,1,0
610.0,0,4508,34.205,-85.617,visual,1.338888888888889,0,0
620.0,0,1287,34.161,-84.072,visual,1.0,1,0
620.0,0,1287,34.161,-84.072,visual,1.3444444444444446,0,0
630.0,0,4355,35.963,93.305,visual,1.0,1,0
630.0,0,4355,35.963,93.305,visual,1.35,0,0
650.0,0,1722,37.0,94.295,visual,1.0,1,0
650.0,0,1722,37.0,94.295,visual,1.3611111111111112,0,0
650.0,0,2574,35.963,-83.534,visual,1.0,1,0
650.0,0,2574,35.963,-83.534,visual,1.3611111111111112,0,0
660.0,0,2046,36.86,95.915,visual,1.0,1,0
660.0,0,2046,36.86,95.915,visual,1.3666666666666667,0,0
670.0,0,1218,37.131,96.923,visual,1.0,1,0
670.0,0,1218,37.131,96.923,visual,1.3722222222222222,0,0
670.0,0,2159,44.49791700000003,52.293750000000045,thermal,1.0,1,0
670.0,0,2159,44.49791700000003,52.293750000000045,thermal,1.3722222222222222,0,0
690.0,0,286,38.302,97.556,visual,1.0,1,0
690.0,0,286,38.302,97.556,visual,1.3833333333333333,0,0
710.0,0,4493,42.29791700000004,53.75208300000003,thermal,1.0,1,0
710.0,0,4493,42.29791700000004,53.75208300000003,thermal,1.3944444444444444,0,0
750.0,0,3061,41.502,-80.46,visual,1.0,1,0
750.0,0,3061,41.502,-80.46,visual,1.4166666666666667,0,0
