observer,t_img,lat,lon,range,look,incidence,zenith,instrument_name
vis_sat_1_0,120.0,7.21,81.535,637.2,8.41,9.25,,visual
therm_sat_0_0,170.0,63.313,12.599,740.3,-15.08,16.81,,thermal
therm_sat_0_0,180.0,63.548,14.284,726.8,-10.77,11.99,,thermal
therm_sat_0_0,250.0,63.546,24.851,728.1,9.17,10.21,,thermal
therm_sat_0_0,260.0,63.043,25.524,724.5,7.02,7.82,,thermal
therm_sat_0_0,270.0,62.319,26.115,720.3,3.15,3.51,,thermal
therm_sat_0_0,280.0,62.449,27.64,727.2,7.7,8.58,,thermal
therm_sat_0_0,290.0,61.28,27.656,720.6,-0.69,0.76,,thermal
therm_sat_0_0,300.0,61.576,29.655,726.7,6.64,7.4,,thermal
therm_sat_1_0,310.0,60.233,-151.159,724.9,-4.83,5.38,86.67,thermal
therm_sat_0_0,320.0,61.573,32.628,748.5,14.27,15.93,,thermal
vis_sat_1_0,550.0,31.71,90.744,665.6,14.89,16.42,,visual
therm_sat_0_0,560.0,49.324,46.109,746.9,-8.03,8.97,,thermal
therm_sat_0_0,580.0,48.198,46.898,752.8,-10.0,11.18,,thermal
vis_sat_0_0,610.0,34.205,-85.617,644.1,-2.2,2.42,,visual
therm_sat_0_0,610.0,48.46,51.923,770.2,14.75,16.51,,thermal
vis_sat_0_0,620.0,34.161,-84.072,664.3,-13.49,14.88,,visual
vis_sat_1_0,630.0,35.963,93.305,662.9,12.86,14.18,,visual
vis_sat_1_0,650.0,37.0,94.295,657.1,10.26,11.31,,visual
vis_sat_0_0,650.0,35.963,-83.534,655.6,-9.57,10.55,,visual
vis_sat_1_0,660.0,36.86,95.915,646.4,-1.84,2.03,,visual
therm_sat_0_0,670.0,44.498,52.294,745.4,-0.68,0.76,,thermal
vis_sat_1_0,670.0,37.131,96.923,652.8,-7.59,8.36,,visual
vis_sat_1_0,690.0,38.302,97.556,652.3,-6.63,7.31,,visual
therm_sat_0_0,710.0,42.298,53.752,748.2,-2.28,2.54,,thermal
vis_sat_0_0,750.0,41.502,-80.46,653.1,-4.73,5.22,,visual
therm_sat_1_0,760.0,40.72,-122.422,771.4,12.71,14.23,84.64,thermal
vis_sat_0_0,780.0,42.904,-78.908,658.6,-7.56,8.34,,visual
vis_sat_0_0,800.0,44.273,-78.749,653.8,-1.72,1.9,,visual
vis_sat_0_0,810.0,45.175,-79.097,656.6,4.86,5.36,,visual
vis_sat_0_0,840.0,47.136,-78.668,671.9,11.98,13.23,,visual
vis_sat_0_0,860.0,48.177,-77.891,675.6,12.84,14.18,,visual
vis_sat_0_0,870.0,47.402,-74.622,666.2,-8.8,9.71,,visual
vis_sat_0_0,880.0,47.755,-73.896,671.0,-10.7,11.81,,visual
sar_sat_1_0,890.0,-46.359,-74.133,773.2,15.47,17.32,85.48,sar
vis_sat_0_0,900.0,49.348,-74.016,659.6,-1.38,1.52,,visual
vis_sat_0_0,920.0,51.13,-74.648,675.6,11.49,12.7,,visual
vis_sat_0_0,930.0,51.418,-73.831,670.6,9.11,10.07,,visual
vis_sat_0_0,960.0,53.308,-72.989,690.3,15.33,16.97,,visual
vis_sat_0_0,970.0,53.526,-71.885,679.5,11.73,12.97,,visual
vis_sat_0_0,970.0,53.573,-71.922,680.7,12.15,13.43,,visual
vis_sat_0_0,980.0,54.271,-71.746,691.2,15.18,16.8,,visual
sar_sat_1_0,980.0,-52.101,-72.472,739.7,-5.23,5.84,83.8,sar
vis_sat_1_0,980.0,52.644,111.572,673.4,-8.88,9.81,,visual
vis_sat_0_0,990.0,53.112,-67.98,672.4,-8.01,8.85,,visual
vis_sat_0_0,1000.0,54.851,-69.78,677.8,10.27,11.35,,visual
vis_sat_0_0,1020.0,54.74,-66.323,669.7,-4.81,5.31,,visual
sar_sat_1_0,1020.0,-53.204,-68.537,737.0,5.1,5.69,85.34,sar
vis_sat_0_0,1030.0,56.367,-67.812,682.5,11.34,12.54,,visual
vis_sat_0_0,1040.0,55.034,-63.867,686.5,-12.52,13.86,,visual
vis_sat_0_0,1050.0,57.195,-66.377,682.8,10.9,12.06,,visual
vis_sat_0_0,1070.0,56.762,-62.503,675.0,-6.29,6.96,,visual
vis_sat_1_0,1370.0,66.452,149.906,692.3,1.01,1.13,,visual
vis_sat_1_0,1390.0,68.015,151.914,714.3,13.11,14.56,,visual
vis_sat_1_0,1410.0,68.345,155.124,719.3,14.11,15.68,,visual
vis_sat_1_0,1410.0,68.322,155.134,718.6,13.91,15.46,,visual
vis_sat_0_0,1440.0,65.218,-19.681,726.7,-15.47,17.21,,visual
vis_sat_1_0,1500.0,67.299,169.268,703.5,3.63,4.03,,visual
vis_sat_1_1,1670.0,11.803,77.811,630.9,1.15,1.26,,visual
vis_sat_0_0,1670.0,64.705,13.207,720.6,7.07,7.87,,visual
vis_sat_0_0,1680.0,63.405,13.368,716.2,-2.81,3.12,,visual
vis_sat_0_0,1690.0,64.662,16.538,736.6,12.86,14.33,,visual
vis_sat_1_0,1710.0,61.539,-164.719,738.6,-13.01,14.5,86.37,visual
