routine,t_avg,t_std,t_med,n
_read_incoming_messages,0.025,0.738,0.0,888
__check_action_completion,0.0,0.0,0.0,888
preplanner/update_percepts,0.0,0.0,0.0,888
preplanner/needs_planning,0.0,0.0,0.0,888
preplanner/calculate_access_times,0.099,0.0,0.099,1
preplanner/_schedule_observations,0.214,0.0,0.214,1
preplanner/is_observation_path_valid,0.005,0.0,0.005,1
preplanner/_schedule_broadcasts,0.001,0.0,0.001,1
preplanner/_schedule_maneuvers,0.058,0.0,0.058,1
preplanner/__schedule_periodic_replan,0.932,0.0,0.932,1
preplanner/generate_plan,3.223,0.0,3.223,1
