observer,t_img,lat,lon,range,look,incidence,zenith,instrument_name
vis_1,280.0,15.873,-93.665,636.9,-6.58,7.24,,visual
vis_0,280.0,15.873,-93.665,636.9,-6.58,7.24,,visual
sar_0,280.0,15.873,-93.665,636.9,-6.58,7.24,,sar
sar_1,280.0,15.873,-93.665,636.9,-6.58,7.24,,sar
therm_1,280.0,15.873,-93.665,636.9,-6.58,7.24,,thermal
therm_0,280.0,15.873,-93.665,636.9,-6.58,7.24,,thermal
vis_1,300.0,17.177,-93.599,633.8,-3.18,3.5,,visual
vis_0,300.0,17.177,-93.599,633.8,-3.18,3.5,,visual
sar_1,300.0,17.177,-93.599,633.8,-3.18,3.5,,sar
sar_0,300.0,17.177,-93.599,633.8,-3.18,3.5,,sar
therm_0,300.0,17.177,-93.599,633.8,-3.18,3.5,,thermal
therm_1,300.0,17.177,-93.599,633.8,-3.18,3.5,,thermal
therm_0,320.0,17.801,-92.026,654.3,-13.89,15.31,,thermal
sar_0,320.0,17.801,-92.026,654.3,-13.89,15.31,,sar
vis_1,320.0,17.801,-92.026,654.3,-13.89,15.31,,visual
vis_0,320.0,17.801,-92.026,654.3,-13.89,15.31,,visual
therm_1,320.0,17.801,-92.026,654.3,-13.89,15.31,,thermal
sar_1,320.0,17.801,-92.026,654.3,-13.89,15.31,,sar
vis_0,330.0,18.076,-92.231,647.7,-11.49,12.65,,visual
sar_0,330.0,18.076,-92.231,647.7,-11.49,12.65,,sar
vis_1,330.0,18.076,-92.231,647.7,-11.49,12.65,,visual
therm_0,330.0,18.076,-92.231,647.7,-11.49,12.65,,thermal
sar_1,330.0,18.076,-92.231,647.7,-11.49,12.65,,sar
therm_1,330.0,18.076,-92.231,647.7,-11.49,12.65,,thermal
sar_1,500.0,29.248,-90.68,670.8,16.86,18.61,,sar
therm_1,500.0,29.248,-90.68,670.8,16.86,18.61,,thermal
vis_0,500.0,29.248,-90.68,670.8,16.86,18.61,,visual
therm_0,500.0,29.248,-90.68,670.8,16.86,18.61,,thermal
vis_1,500.0,29.248,-90.68,670.8,16.86,18.61,,visual
sar_0,500.0,29.248,-90.68,670.8,16.86,18.61,,sar
sar_0,510.0,29.481,-89.981,655.9,12.29,13.55,,sar
sar_0,510.0,29.324,-90.622,669.4,16.41,18.11,,sar
