gp_index,lat [deg],lon [deg],start time [s],duration [s],severity,measurements
685,-29.55158399999993,-50.02943799999997,67163.61392932873,3600,76.03711791272431,"[visual,sar]"
547,35.85520400000007,38.55851800000005,40427.22898663274,3600,97.87605626755138,"[sar,thermal]"
372,13.243355000000063,-85.90312499999999,57995.435655095,3600,67.92237199011124,"[thermal,visual]"
469,-7.0264779999999405,141.1571970000001,19670.08589627893,3600,18.305109471620906,"[sar,visual]"
727,37.056377000000055,37.88945800000005,85597.19234185155,3600,41.57281494999725,"[sar,visual]"
789,41.88860100000005,124.09437100000002,61917.177937268134,3600,94.55914886158723,"[thermal,sar]"
292,60.24698900000004,68.38437500000003,21787.655170610447,3600,9.286027402458918,"[sar,visual]"
798,58.27885900000007,-97.19563499999998,25143.785738988205,3600,76.97719525404014,"[sar,visual]"
674,-23.28957299999996,123.1395940000001,32928.44859660207,3600,22.80940952265339,"[thermal,visual]"
890,56.00625500000007,-107.66139199999998,77357.25588691098,3600,11.97010077074686,"[visual,thermal]"
287,50.77217000000008,-74.65937499999995,41902.25453606469,3600,47.11797559928665,"[sar,thermal]"
729,66.28476800000004,-88.44895799999995,38860.92180260145,3600,7.499317994693245,"[sar,visual]"
901,36.01819100000006,-114.73500599999994,10919.692743840678,3600,13.626503670637636,"[visual,thermal]"
783,40.211205000000064,28.460761000000048,25264.36105912352,3600,69.48564982298262,"[visual,sar]"
954,54.60513400000008,-103.02539699999994,74957.05018237414,3600,82.49264899023865,"[visual,thermal]"
6,48.92532800000004,93.35625000000005,69222.4006829126,3600,56.130523890196926,"[sar,visual]"
631,66.50208300000003,-93.92708299999998,35249.60607584919,3600,46.819109749463486,"[thermal,sar]"
961,33.856250000000045,88.59791700000005,85166.8668282541,3600,89.58771232339377,"[sar,thermal]"
204,40.46266500000007,124.96621100000004,8934.202415405378,3600,88.2532701944944,"[sar,thermal]"
214,76.99638800000008,-66.40728499999994,47422.086625757656,3600,55.71148495425724,"[thermal,sar]"
162,12.533721000000073,104.39712800000008,54586.35002147744,3600,15.502869908670746,"[thermal,sar]"
286,26.561383000000035,-99.16770799999996,7376.993493903799,3600,71.83344306409592,"[visual,sar]"
