Datametrics file based on GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 0.0625
time index,GP index,pnt-opt index,lat [deg],lon [deg],observation range [km],look angle [deg],incidence angle [deg],solar zenith [deg]
26,2894,,16.73,-99.653,865.8,40.66,45.73,88.27
26,4033,,17.003,-100.244,917.2,43.68,49.38,87.87
27,610,,18.272,-101.892,1088.1,50.78,58.38,87.02
28,161,,12.203,-86.107,1206.4,-54.09,62.91,nan
28,1391,,14.702,-91.181,739.5,-29.64,32.92,nan
28,1829,,13.944,-88.932,908.4,-43.17,48.76,nan
28,2394,,13.663,-89.002,912.3,-43.38,49.02,nan
28,3700,,16.223,-94.627,634.0,4.07,4.48,nan
28,3922,,16.445,-95.399,646.1,11.32,12.46,nan
28,4231,,15.873,-93.665,636.9,-6.58,7.24,nan
28,4641,,14.245,-89.478,859.4,-40.2,45.19,nan
29,164,,20.314,-102.794,1232.1,54.69,63.76,87.21
29,1829,,13.944,-88.932,910.9,-43.28,48.9,nan
29,2175,,19.623,-101.648,1108.7,51.4,59.21,87.88
29,4231,,15.873,-93.665,638.6,-7.58,8.34,nan
29,4641,,14.245,-89.478,861.2,-40.3,45.31,nan
29,4826,,13.243,-85.903,1183.8,-53.52,62.1,nan
30,164,,20.314,-102.794,1228.2,54.59,63.61,87.25
30,300,,16.401,-92.779,649.5,-12.46,13.72,nan
30,448,,18.252,-96.423,706.0,25.03,27.71,nan
30,602,,17.177,-93.599,633.8,-3.18,3.5,nan
30,856,,19.99,-101.073,1070.5,50.16,57.56,88.56
30,1274,,18.0,-96.266,694.0,23.07,25.52,nan
30,2681,,19.957,-100.973,1061.2,49.84,57.14,88.64
30,3655,,20.272,-101.09,1082.4,50.55,58.08,88.67
30,3960,,20.052,-100.667,1040.1,49.08,56.15,88.94
30,4826,,13.243,-85.903,1186.6,-53.57,62.18,nan
30,4866,,20.004,-100.229,1004.0,47.67,54.36,89.29
31,252,,15.655,-88.999,852.6,-39.67,44.57,nan
31,602,,17.177,-93.599,635.1,-4.5,4.95,nan
31,2117,,15.027,-87.744,966.1,-46.02,52.27,nan
31,2135,,14.93,-88.026,948.5,-45.18,51.24,nan
31,2300,,18.414,-95.118,659.3,15.49,17.08,nan
31,2931,,15.778,-88.82,861.2,-40.25,45.26,nan
