GRID COVERAGE
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 1.0
time index,GP index,lat [deg],lon [deg]
346,2009,27.51,-100.615
357,2419,33.356,-97.052
358,670,33.823,-96.573
362,2862,36.702,-96.927
362,4821,36.35,-96.09
377,1836,44.058,-90.019
382,3569,47.027,-88.478
383,4911,48.606,-90.449
385,3465,49.294,-88.79
387,1271,49.784,-86.548
387,3983,49.79,-86.703
390,3446,51.526,-85.607
394,2871,53.924,-84.253
399,3870,54.577,-77.776
400,4628,54.914,-76.879
400,4835,54.83,-76.698
404,1847,58.635,-77.455
404,2761,57.563,-75.648
405,1176,58.59,-75.945
405,3642,58.585,-75.809
405,3804,57.914,-74.611
406,903,58.075,-73.378
406,2505,59.126,-75.303
406,4048,58.52,-74.246
408,1334,60.041,-73.576
408,1963,58.789,-71.616
408,4316,58.122,-70.545
409,1081,59.82,-71.73
427,2710,64.21,-50.581
427,2760,63.74,-50.302
428,3090,65.535,-50.488
451,4397,65.595,-17.085
452,2985,64.947,-15.793
472,3689,62.681,11.466
473,882,61.933,11.879
475,2357,59.64,11.156
475,4581,59.399,10.741
476,4047,59.871,13.146
476,4922,59.481,12.533
477,2630,60.466,15.57
477,4330,60.159,15.18
478,3813,60.243,16.832
478,4883,59.842,16.104
479,4469,58.948,16.067
485,4654,57.201,22.107
495,4714,52.383,27.974
499,264,50.587,30.524
505,1288,46.657,31.177
505,2618,46.827,31.59
508,370,46.015,34.402
508,3567,45.443,33.202
533,915,33.203,43.498
961,665,40.29,-120.26
963,401,41.721,-120.457
965,3738,42.69,-119.635
966,1399,43.228,-119.045
985,442,51.269,-106.865
985,2032,52.76,-109.748
989,267,54.706,-107.586
989,1951,54.435,-106.85
989,2364,53.954,-106.081
990,378,54.542,-105.598
992,311,54.84,-103.136
992,1481,55.407,-104.275
992,3408,55.586,-104.594
993,3118,56.365,-104.316
993,3139,56.02,-103.616
994,2555,55.851,-101.874
994,2692,56.894,-103.731
995,1123,56.363,-101.262
995,1723,56.627,-101.778
996,411,56.492,-100.046
997,1659,58.435,-101.96
998,716,57.964,-99.47
999,3496,58.851,-99.671
999,3546,57.101,-96.669
1000,1367,58.282,-96.991
1000,1907,59.12,-98.594
1000,4502,59.248,-98.651
1000,4660,58.279,-97.196
1003,297,61.073,-97.06
1003,3904,60.663,-96.32
1005,3377,61.658,-94.822
1006,2936,61.768,-93.666
1006,4256,61.748,-93.652
1006,4648,61.975,-93.791
1022,2566,64.88,-73.03
1024,35,66.564,-71.413
1036,3456,67.16,-53.326
1038,3090,65.535,-50.488
1038,4304,65.576,-50.603
1060,2146,64.346,-18.796
1098,842,47.002,7.019
1098,4470,47.125,7.229
1101,853,45.673,8.682
1107,1447,43.087,12.095
1186,680,-0.068,30.161
1188,3494,-1.475,29.758
1188,4370,-0.743,31.312
1189,74,-2.489,28.893
1195,568,-5.277,30.962
1200,23,-7.915,32.202
1214,153,-15.298,35.715
1586,4707,56.394,-129.38
1587,723,55.06,-125.508
