req_id,measurer,measurement,pos,t_start,t_end,t_corr,t_img,u_max,u_exp,u
1464a6c2,img_0,visible,"[615.1169652280626, -4623.984611421844, 4349.829892513073]",0.0,86400.0,86400.0,700.0,1.0,0.3333333333333333,0.11021090534979423
14658e84,img_0,visible,"[898.8023036626363, -4584.657516159214, 4342.08389368898]",0.0,86400.0,86400.0,720.0,1.0,0.3333333333333333,0.11018518518518518
1465f22a,img_0,visible,"[1116.7695837167582, -4411.567404308492, 4468.950815964037]",0.0,86400.0,86400.0,760.0,1.0,0.3333333333333333,0.11013374485596707
1474f00e,img_0,visible,"[1114.3333362144322, -3833.713792656991, 4974.085085035283]",0.0,86400.0,86400.0,860.0,1.0,0.3333333333333333,0.1100051440329218
147244da,img_0,visible,"[915.182958438889, -3660.6480566836904, 5142.248401143089]",0.0,86400.0,86400.0,880.0,1.0,0.3333333333333333,0.10997942386831275
1476ade0,img_0,visible,"[1467.2017196260167, -3768.642845538931, 4932.065782009844]",0.0,86400.0,86400.0,890.0,1.0,0.3333333333333333,0.10996656378600823
146e4cb8,img_0,visible,"[1269.1043438792206, -3445.6511992852834, 5215.120769319583]",0.0,86400.0,86400.0,940.0,1.0,0.3333333333333333,0.10990226337448558
1469182e,img_0,visible,"[1641.7518519186995, -3405.449098698736, 5136.943639390175]",0.0,86400.0,86400.0,960.0,1.0,0.3333333333333333,0.10987654320987655
146c101a,img_0,visible,"[2690.7876989499314, 1478.1265722988296, 5590.655243960366]",0.0,86400.0,86400.0,1730.0,1.0,0.3333333333333333,0.10888631687242797
146ea7e4,img_0,visible,"[2908.9148357225654, 1529.2317675417105, 5466.286430569853]",0.0,86400.0,86400.0,1750.0,1.0,0.3333333333333333,0.10886059670781892
146682e4,img_0,visible,"[2736.5225342760405, 1646.4048317042023, 5520.997936145076]",0.0,86400.0,86400.0,1760.0,1.0,0.3333333333333333,0.1088477366255144
1466f8be,img_0,visible,"[2565.1049027893, 1740.7222025433125, 5574.113894838959]",0.0,86400.0,86400.0,1770.0,1.0,0.3333333333333333,0.10883487654320986
146ccd98,img_0,visible,"[2630.174015858927, 2107.32041059329, 5414.979962546043]",0.0,86400.0,86400.0,1830.0,1.0,0.3333333333333333,0.10875771604938272
14716088,img_0,visible,"[2985.572322411262, 2952.5368728689937, 4800.9901669737355]",0.0,86400.0,86400.0,1990.0,1.0,0.3333333333333333,0.10855195473251028
1473e0f6,img_0,visible,"[3189.920123731725, 2883.3712928389405, 4710.753894359306]",0.0,86400.0,86400.0,2000.0,1.0,0.3333333333333333,0.10853909465020575
146651d4,img_0,visible,"[2900.265884658504, 3836.635861214348, 4189.189149239713]",0.0,86400.0,86400.0,2150.0,1.0,0.3333333333333333,0.10834619341563785
146ad20e,img_0,visible,"[3544.8367120268326, 3591.28373183685, 3900.95328142859]",0.0,86400.0,86400.0,2250.0,1.0,0.3333333333333333,0.10821759259259259
146aa478,img_0,visible,"[-660.1806065812408, -3881.037609803973, 5018.200005914349]",0.0,86400.0,86400.0,6800.0,1.0,0.3333333333333333,0.10236625514403291
146ed50c,img_0,visible,"[-324.55826951299105, -4107.041814579687, 4869.034003204581]",0.0,86400.0,86400.0,6810.0,1.0,0.3333333333333333,0.10235339506172839
146bb3e0,img_0,visible,"[-601.3874084163037, -3916.925513578675, 4997.66449128515]",0.0,86400.0,86400.0,6820.0,1.0,0.3333333333333333,0.10234053497942387
1471e97c,img_0,visible,"[-617.3455133490522, -3774.054347530024, 5104.5098648562935]",0.0,86400.0,86400.0,6830.0,1.0,0.3333333333333333,0.10232767489711933
21d25048,img_0,visible,"[-601.3874084163037, -3916.925513578675, 4997.66449128515]",2920.0,8920.0,6000.0,6850.0,7.235586791929105,2.4118622639763685,0.27736416035728234
146f5d60,img_0,visible,"[831.8868848750332, -2520.5760461900536, 5799.593370877265]",0.0,86400.0,86400.0,7120.0,1.0,0.3333333333333333,0.10195473251028805
146b31d6,img_0,visible,"[808.5760258594047, -2404.445269145716, 5851.962954382562]",0.0,86400.0,86400.0,7130.0,1.0,0.3333333333333333,0.10194187242798354
14697be8,img_0,visible,"[3267.3565544461812, 716.4968398696386, 5430.620230319194]",0.0,86400.0,86400.0,7740.0,1.0,0.3333333333333333,0.10115740740740739
1475fc1a,img_0,visible,"[3853.8362002339572, 381.1261962001001, 5067.87056126279]",0.0,86400.0,86400.0,7770.0,1.0,0.3333333333333333,0.10111882716049382
1469e3c6,img_0,visible,"[4894.2188908462895, 3164.57156045298, 2590.8938512863097]",0.0,86400.0,86400.0,8370.0,1.0,0.3333333333333333,0.10034722222222221
146f2ffc,img_0,visible,"[4963.397341924711, 3795.7658574591364, 1279.637074681688]",0.0,86400.0,86400.0,8600.0,1.0,0.3333333333333333,0.1000514403292181
