Satellite states are in CARTESIAN_EARTH_CENTERED_INERTIAL (equatorial-plane) frame.
Epoch [JDUT1] is 2458849.5
Step size [s] is 10.0
Mission Duration [Days] is 0.1
time index,x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
0,1740.9503834446352,2421.7578539836873,-6404.5876974730245,-4.161730301333421,6.131292900327016,1.2686682317209232
1,1699.2705058969666,2482.8920343616965,-6391.546054348295,-4.1811327043811986,6.1036066046822866,1.3409609210310482
2,1657.399363171892,2543.7462331476363,-6377.782493082933,-4.200069172907637,6.075222336539664,1.413124768641024
3,1615.3416228868857,2604.3134890794245,-6363.298342822572,-4.218537269460108,6.046142881378885,1.4851514882032704
4,1573.1019767292848,2664.586869127908,-6348.095015507208,-4.236534607567289,6.016371108375237,1.5570327988630746
5,1530.6851399449563,2724.5594693324215,-6332.174005811347,-4.254058852149975,5.985909970262512,1.6287604262644388
6,1488.0958508226886,2784.2244156351935,-6315.536891073968,-4.271107719927061,5.954762503184185,1.700326103560012
7,1445.3388701746258,2843.5748647141304,-6298.185331218437,-4.287678979816572,5.922931826532814,1.771721572424763
8,1402.4189808128097,2902.604004813793,-6280.121068662271,-4.303770453331552,5.890421142777584,1.842938584073182
9,1359.3409870216528,2961.305056574814,-6261.345928216686,-4.3193800149708155,5.857233737279859,1.913968900280096
10,1316.1097140266302,3019.6712738612646,-6241.861816975952,-4.334505592604393,5.823372978096748,1.9848042944047328
11,1272.7300074591112,3077.6959445860725,-6221.670724196482,-4.349145167853541,5.788842315772569,2.055436552418065
12,1229.2067328174473,3135.3723915342575,-6200.774721165648,-4.363296776465246,5.753645283118206,2.125857473933077
13,1185.54477492431,3192.6939731839543,-6179.175961060264,-4.376958508681094,5.7177854949782265,2.1960588732379973
14,1141.7490373804762,3249.654084524923,-6156.8766787947825,-4.390128509600399,5.681266647985769,2.266032580332194
15,1097.8244420148435,3306.2461578747725,-6133.87919085903,-4.402804979537488,5.644092520305066,2.335770441964753
