t,x_pos,y_pos,z_pos,x_vel,y_vel,z_vel,attitude,status
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,SENSING
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,MESSAGING
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,SENSING
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,LISTENING
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,SENSING
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,LISTENING
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,SENSING
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,LISTENING
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,SENSING
0.0,7007.22,0.0,0.0,-0.0,2.962,6.977,0.0,LISTENING
119.159,6949.75,351.31,828.701,-0.964,2.937,6.92,0.0,SENSING
119.159,6949.75,351.31,828.701,-0.964,2.937,6.92,0.0,LISTENING
120.0,6948.937,353.776,834.517,-0.971,2.937,6.919,0.0,SENSING
120.0,6948.937,353.776,834.517,-0.971,2.937,6.919,0.0,LISTENING
120.0,6948.937,353.776,834.517,-0.971,2.937,6.919,0.0,SENSING
120.0,6948.937,353.776,834.517,-0.971,2.937,6.919,0.0,LISTENING
168.492,6892.475,495.4,1168.584,-1.359,2.913,6.863,0.0,SENSING
168.492,6892.475,495.4,1168.584,-1.359,2.913,6.863,0.0,LISTENING
170.0,6890.418,499.785,1178.926,-1.371,2.912,6.861,0.0,SENSING
170.0,6890.418,499.785,1178.926,-1.371,2.912,6.861,0.0,LISTENING
170.0,6890.418,499.785,1178.926,-1.371,2.912,6.861,0.0,SENSING
170.0,6890.418,499.785,1178.926,-1.371,2.912,6.861,0.0,LISTENING
179.569,6876.942,527.576,1244.481,-1.447,2.907,6.847,0.0,SENSING
179.569,6876.942,527.576,1244.481,-1.447,2.907,6.847,0.0,LISTENING
180.0,6876.318,528.827,1247.431,-1.451,2.906,6.847,0.0,SENSING
180.0,6876.318,528.827,1247.431,-1.451,2.906,6.847,0.0,LISTENING
180.0,6876.318,528.827,1247.431,-1.451,2.906,6.847,0.0,SENSING
180.0,6876.318,528.827,1247.431,-1.451,2.906,6.847,0.0,LISTENING
248.006,6759.438,724.542,1709.071,-1.987,2.857,6.73,0.0,SENSING
248.006,6759.438,724.542,1709.071,-1.987,2.857,6.73,0.0,LISTENING
